,,percentage_To,type_pre,percentage_From,percentage_max,opacity_score
R1-R6,Lawf1,0.06112512383106983,R1-R6,0.07082902524606981,0.07082902524606981,8.9
R1-R6,C2,0.04847854648671055,R1-R6,0.06861370484174101,0.06861370484174101,8.9
R1-R6,R8p,0.000702587630242182,R1-R6,0.012517211165352359,0.012517211165352359,8.7
Lawf1,L3,14.012291483757682,Lawf1,3.1521256110205895,14.012291483757682,45.2
Lawf1,R1-R6,5.09657594381036,Lawf1,6.353984238178634,6.353984238178634,25.3
Lawf1,Lawf1,4.635645302897278,Lawf1,0.8597178236764335,4.635645302897278,20.8
Lawf1,L2,3.722563652326602,Lawf1,0.3463641970518198,3.722563652326602,18.4
Lawf1,L1,2.4934152765583844,Lawf1,0.3556913751103708,2.4934152765583844,15.2
Lawf1,C3,0.5838454784899034,Lawf1,0.08817172935919704,0.5838454784899034,10.2
Lawf1,L5,0.5487269534679543,Lawf1,0.04967354545924186,0.5487269534679543,10.1
Lawf1,L4,0.4697102721685689,Lawf1,0.23401277228588926,0.4697102721685689,9.9
Lawf1,Mi1,0.4433713784021071,Lawf1,0.028650612867812883,0.4433713784021071,9.9
Lawf1,C2,0.35118525021949076,Lawf1,0.07955212155564173,0.35118525021949076,9.6
Lawf1,l-LNv,0.026338893766461806,Lawf1,0.132890365448505,0.132890365448505,9.0
Lawf1,aMe4,0.048287971905179985,Lawf1,0.12433593308466147,0.12433593308466147,9.0
Lawf1,R8p,0.013169446883230903,Lawf1,0.03755163349605708,0.03755163349605708,8.8
aMe12,aMe4,4.72646073688128,aMe12,1.435514863795637,4.72646073688128,21.0
aMe12,l-LNv,1.6002977298101972,aMe12,0.9523809523809524,1.6002977298101972,12.9
aMe12,aMe12,0.8187569780424265,aMe12,0.5986394557823129,0.8187569780424265,10.8
aMe12,Lawf1,0.5954596203944921,aMe12,0.013026027631461113,0.5954596203944921,10.2
aMe12,L1,0.11164867882396724,aMe12,0.0018786516291040712,0.11164867882396724,9.0
aMe12,C3,0.037216226274655755,aMe12,0.0006629453335277972,0.037216226274655755,8.8
aMe12,Mi1,0.037216226274655755,aMe12,0.000283669434334781,0.037216226274655755,8.8
aMe4,Lawf1,23.960127984248093,aMe4,4.755314212210273,23.960127984248093,71.2
aMe4,l-LNv,3.0642382476002954,aMe4,16.54485049833887,16.54485049833887,51.9
aMe4,aMe12,0.47994093034703417,aMe4,3.183673469387755,3.183673469387755,17.0
aMe4,Mi1,2.543276724915908,aMe4,0.1758750492875642,2.543276724915908,15.3
aMe4,aMe4,0.3855935679711215,aMe4,1.0625070645416526,1.0625070645416526,11.5
aMe4,C3,0.3732873902699155,aMe4,0.06032802535102955,0.3732873902699155,9.7
aMe4,C2,0.2338173763229141,aMe4,0.056680886608394744,0.2338173763229141,9.3
aMe4,L3,0.02461235540241201,aMe4,0.005925048141016146,0.02461235540241201,8.8
aMe4,L1,0.01640823693494134,aMe4,0.0025048688388054283,0.01640823693494134,8.7
aMe4,L5,0.012306177701206004,aMe4,0.0011921650910218047,0.012306177701206004,8.7
aMe4,L2,0.00820411846747067,aMe4,0.0008168966911599524,0.00820411846747067,8.7
aMe4,L4,0.00820411846747067,aMe4,0.004374070510016622,0.00820411846747067,8.7
R8p,aMe12,2.032808327429288,R8p,10.149659863945578,10.149659863945578,35.2
R8p,L1,6.321870401656766,R8p,0.7264119632535742,6.321870401656766,25.2
