,,percentage_To,type_pre,percentage_From,percentage_max,opacity_score
L1,R1-R6,0.2939469753902646,L1,5.073336252189142,5.073336252189142,21.9
L2,L4,1.3245391063339753,L2,19.294025019683318,19.294025019683318,59.0
L2,R1-R6,0.5227890691742125,L2,19.05647985989492,19.05647985989492,58.4
L2,L5,6.860968435971852,L2,18.159456054807805,18.159456054807805,56.1
L2,C3,0.5565706718635284,L2,2.4575383513875444,2.4575383513875444,15.1
L2,L1,0.29682768229678863,L2,1.2380314235795828,1.2380314235795828,11.9
L2,L3,0.09654031346324486,L2,0.6349676591122303,0.6349676591122303,10.4
L3,Mi1,5.049245412668924,L3,5.065201419481849,5.065201419481849,21.9
L3,C3,2.0224128131388968,L3,4.741385025390806,4.741385025390806,21.1
L3,Lawf1,0.8865022607928468,L3,2.5522872890394117,2.5522872890394117,15.4
L3,L4,0.27542366890342357,L3,2.1301723383780944,2.1301723383780944,14.3
L3,R8p,0.04298192779601682,L3,1.9026160971335586,1.9026160971335586,13.7
L4,R1-R6,5.631803984595324,L4,50.82092819614711,50.82092819614711,141.3
L4,L4,2.8061982593929105,L4,10.119412124923453,10.119412124923453,35.1
L4,L2,6.315917154380325,L4,4.253581070869872,6.315917154380325,25.2
L4,L3,1.7224125905934438,L4,2.804522786747642,2.804522786747642,16.0
L4,C3,0.9097249598204808,L4,0.9944180002916959,0.9944180002916959,11.3
L4,L1,0.6859326197046427,L4,0.7082516641722347,0.7082516641722347,10.5
L5,C2,4.078538525256841,L5,21.64116026769289,21.64116026769289,65.2
L5,L1,5.333978013410845,L5,17.823394222520022,17.823394222520022,55.2
L5,Mi1,7.431811963313207,L5,11.249195087980075,11.249195087980075,38.0
L5,C3,2.6977237545867863,L5,9.543098076132642,9.543098076132642,33.6
L5,L5,1.3326511718559664,L5,2.825828654085351,2.825828654085351,16.1
L5,L2,1.1748544784650616,L5,2.560562678440871,2.560562678440871,15.4
